column_name,dtype,unique_non_missing_count,missing_count,missing_percentage,is_constant_non_missing
member_id,float64,0,1369566,1.0,True
deferral_term,float64,1,1362187,0.9946121618089234,True
hardship_length,float64,1,1362187,0.9946121618089234,True
hardship_type,object,1,1362187,0.9946121618089234,True
policy_code,float64,1,0,0.0,True
application_type,object,2,0,0.0,False
bad_loan,int64,2,0,0.0,False
debt_settlement_flag,object,2,0,0.0,False
disbursement_method,object,2,0,0.0,False
hardship_flag,object,2,0,0.0,False
initial_list_status,object,2,0,0.0,False
pymnt_plan,object,2,0,0.0,False
term,object,2,0,0.0,False
hardship_status,object,3,1362187,0.9946121618089234,False
settlement_status,object,3,1335369,0.9750307761728898,False
verification_status,object,3,0,0.0,False
verification_status_joint,object,3,1341811,0.9797344560247553,False
hardship_loan_status,object,5,1362187,0.9946121618089234,False
num_tl_30dpd,float64,5,70276,0.05131260559914601,False
home_ownership,object,6,0,0.0,False
loan_status,object,6,0,0.0,False
num_tl_120dpd_2m,float64,6,121510,0.08872153660356638,False
grade,object,7,0,0.0,False
sec_app_inq_last_6mths,float64,7,1348918,0.9849236911547161,False
acc_now_delinq,float64,8,29,2.1174591074836846e-05,False
hardship_reason,object,9,1362187,0.9946121618089234,False
chargeoff_within_12_mths,float64,11,145,0.00010587295537418423,False
emp_length,object,11,80401,0.05870545851751577,False
pub_rec_bankruptcies,float64,12,1365,0.0009966660971431826,False
sec_app_collections_12_mths_ex_med,float64,12,1348918,0.9849236911547161,False
purpose,object,14,0,0.0,False
collections_12_mths_ex_med,float64,15,145,0.00010587295537418423,False
sec_app_chargeoff_within_12_mths,float64,15,1348918,0.9849236911547161,False
sec_app_mort_acc,float64,18,1348918,0.9849236911547161,False
open_acc_6m,float64,19,812048,0.5929235976944521,False
open_il_12m,float64,19,812047,0.5929228675361392,False
mths_since_recent_inq,float64,26,178574,0.13038729057234189,False
hardship_start_date,object,27,1362187,0.9946121618089234,False
open_rv_12m,float64,27,812047,0.5929228675361392,False
payment_plan_start_date,object,27,1362187,0.9946121618089234,False
hardship_end_date,object,28,1362187,0.9946121618089234,False
inq_last_6mths,float64,28,30,2.1904749387762255e-05,False
inq_fi,float64,30,812047,0.5929228675361392,False
num_tl_90g_dpd_24m,float64,30,70276,0.05131260559914601,False
open_il_24m,float64,31,812047,0.5929228675361392,False
delinq_2yrs,float64,32,29,2.1174591074836846e-05,False
num_tl_op_past_12m,float64,32,70276,0.05131260559914601,False
hardship_dpd,float64,34,1362187,0.9946121618089234,False
num_actv_bc_tl,float64,34,70276,0.05131260559914601,False
sub_grade,object,35,0,0.0,False
tax_liens,float64,37,105,7.666662285716789e-05,False
sec_app_open_act_il,float64,38,1348918,0.9849236911547161,False
mort_acc,float64,39,50030,0.036529820395658184,False
num_accts_ever_120_pd,float64,39,70276,0.05131260559914601,False
pub_rec,float64,39,29,2.1174591074836846e-05,False
settlement_term,float64,40,1335369,0.9750307761728898,False
inq_last_12m,float64,43,812048,0.5929235976944521,False
num_rev_tl_bal_gt_0,float64,46,70276,0.05131260559914601,False
open_rv_24m,float64,47,812047,0.5929228675361392,False
fico_range_high,float64,48,0,0.0,False
fico_range_low,float64,48,0,0.0,False
open_act_il,float64,50,812047,0.5929228675361392,False
addr_state,object,51,0,0.0,False
num_actv_rev_tl,float64,52,70276,0.05131260559914601,False
num_bc_sats,float64,52,58590,0.04277997555429968,False
total_cu_tl,float64,53,812048,0.5929235976944521,False
acc_open_past_24mths,float64,55,50030,0.036529820395658184,False
sec_app_open_acc,float64,55,1348918,0.9849236911547161,False
sec_app_fico_range_high,float64,60,1348918,0.9849236911547161,False
sec_app_fico_range_low,float64,60,1348918,0.9849236911547161,False
num_bc_tl,float64,68,70276,0.05131260559914601,False
sec_app_num_rev_accts,float64,68,1348918,0.9849236911547161,False
last_fico_range_low,float64,71,0,0.0,False
last_fico_range_high,float64,72,0,0.0,False
num_op_rev_tl,float64,74,70276,0.05131260559914601,False
debt_settlement_flag_date,object,83,1335369,0.9750307761728898,False
num_sats,float64,83,58590,0.04277997555429968,False
open_acc,float64,84,29,2.1174591074836846e-05,False
settlement_date,object,90,1335369,0.9750307761728898,False
next_pymnt_d,object,101,1345310,0.9822892799616812,False
num_rev_accts,float64,108,70277,0.05131333575745893,False
num_il_tl,float64,114,70276,0.05131260559914601,False
sec_app_mths_since_last_major_derog,float64,116,1362090,0.9945413364525696,False
mths_since_last_record,float64,126,1136114,0.8295430815309376,False
last_pymnt_d,object,136,2427,0.0017720942254699664,False
issue_d,object,139,0,0.0,False
last_credit_pull_d,object,141,57,4.1619023836748285e-05,False
total_acc,float64,144,29,2.1174591074836846e-05,False
mths_since_last_delinq,float64,163,690126,0.5039012358659605,False
mths_since_recent_bc_dlq,float64,169,1045111,0.7630964845797866,False
mths_since_recent_revol_delinq,float64,170,911978,0.6658883179050882,False
all_util,float64,172,812103,0.592963756401663,False
mths_since_last_major_derog,float64,174,1009260,0.7369195789030978,False
mo_sin_rcnt_tl,float64,197,70276,0.05131260559914601,False
il_util,float64,238,887579,0.6480731852280212,False
percent_bc_gt_75,float64,245,64617,0.04718063970630112,False
mo_sin_rcnt_rev_tl_op,float64,288,70277,0.05131333575745893,False
