column_name,dtype,unique_non_missing_count,missing_count,missing_percentage,is_constant_non_missing,column_role,recommended_action,reason
member_id,float64,0,1369566,1.0,True,constant_or_empty,exclude_from_model_features,Column is empty or contains no meaningful variation. Exclude from model features. 
deferral_term,float64,1,1362187,0.9946121618089234,True,constant_or_empty,exclude_from_model_features,Column is empty or contains no meaningful variation. Exclude from model features. 
hardship_length,float64,1,1362187,0.9946121618089234,True,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
hardship_type,object,1,1362187,0.9946121618089234,True,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
policy_code,float64,1,0,0.0,True,constant_or_empty,exclude_from_model_features,Column is empty or contains no meaningful variation. Exclude from model features. 
application_type,object,2,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
bad_loan,int64,2,0,0.0,False,target,retain_as_target,Outcome variable used for supervised modeling.
debt_settlement_flag,object,2,0,0.0,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
disbursement_method,object,2,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
hardship_flag,object,2,0,0.0,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
initial_list_status,object,2,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
pymnt_plan,object,2,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
term,object,2,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
hardship_status,object,3,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
settlement_status,object,3,1335369,0.9750307761728898,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
verification_status,object,3,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
verification_status_joint,object,3,1341811,0.9797344560247552,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
hardship_loan_status,object,5,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
num_tl_30dpd,float64,5,70276,0.051312605599146,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
home_ownership,object,6,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
loan_status,object,6,0,0.0,False,target_source,exclude_from_model_features,Source column used to construct the target. Exclude to prevent direct target leakage.
num_tl_120dpd_2m,float64,6,121510,0.0887215366035663,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
grade,object,7,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
sec_app_inq_last_6mths,float64,7,1348918,0.984923691154716,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
acc_now_delinq,float64,8,29,2.117459107483685e-05,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
hardship_reason,object,9,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
chargeoff_within_12_mths,float64,11,145,0.0001058729553741,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
emp_length,object,11,80401,0.0587054585175157,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
pub_rec_bankruptcies,float64,12,1365,0.0009966660971431,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
sec_app_collections_12_mths_ex_med,float64,12,1348918,0.984923691154716,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
purpose,object,14,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
collections_12_mths_ex_med,float64,15,145,0.0001058729553741,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
sec_app_chargeoff_within_12_mths,float64,15,1348918,0.984923691154716,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
sec_app_mort_acc,float64,18,1348918,0.984923691154716,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
open_acc_6m,float64,19,812048,0.5929235976944521,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
open_il_12m,float64,19,812047,0.5929228675361392,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
mths_since_recent_inq,float64,26,178574,0.1303872905723418,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
hardship_start_date,object,27,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
open_rv_12m,float64,27,812047,0.5929228675361392,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
payment_plan_start_date,object,27,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
hardship_end_date,object,28,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
inq_last_6mths,float64,28,30,2.1904749387762252e-05,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
inq_fi,float64,30,812047,0.5929228675361392,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
num_tl_90g_dpd_24m,float64,30,70276,0.051312605599146,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
open_il_24m,float64,31,812047,0.5929228675361392,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
delinq_2yrs,float64,32,29,2.117459107483685e-05,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
num_tl_op_past_12m,float64,32,70276,0.051312605599146,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
hardship_dpd,float64,34,1362187,0.9946121618089234,False,post_application_leakage,exclude_from_model_features,Contains information generated after loan issuance or during repayment performance. Exclude to prevent leakage.
num_actv_bc_tl,float64,34,70276,0.051312605599146,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
sub_grade,object,35,0,0.0,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
tax_liens,float64,37,105,7.666662285716789e-05,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
sec_app_open_act_il,float64,38,1348918,0.984923691154716,False,requires_review,requires_review,No obvious automatic classification applies. Review manually before deciding feature eligibility. 
