column_name,dtype,missing_count,missing_percentage
member_id,float64,1369566,1.0
orig_projected_additional_accrued_interest,float64,1364358,0.9961973355062844
deferral_term,float64,1362187,0.9946121618089234
hardship_amount,float64,1362187,0.9946121618089234
hardship_dpd,float64,1362187,0.9946121618089234
hardship_end_date,object,1362187,0.9946121618089234
hardship_last_payment_amount,float64,1362187,0.9946121618089234
hardship_length,float64,1362187,0.9946121618089234
hardship_loan_status,object,1362187,0.9946121618089234
hardship_payoff_balance_amount,float64,1362187,0.9946121618089234
hardship_reason,object,1362187,0.9946121618089234
hardship_start_date,object,1362187,0.9946121618089234
hardship_status,object,1362187,0.9946121618089234
hardship_type,object,1362187,0.9946121618089234
payment_plan_start_date,object,1362187,0.9946121618089234
sec_app_mths_since_last_major_derog,float64,1362090,0.9945413364525696
sec_app_revol_util,float64,1349285,0.9851916592555597
revol_bal_joint,float64,1348919,0.984924421313029
sec_app_chargeoff_within_12_mths,float64,1348918,0.9849236911547161
sec_app_collections_12_mths_ex_med,float64,1348918,0.9849236911547161
sec_app_earliest_cr_line,object,1348918,0.9849236911547161
sec_app_fico_range_high,float64,1348918,0.9849236911547161
sec_app_fico_range_low,float64,1348918,0.9849236911547161
sec_app_inq_last_6mths,float64,1348918,0.9849236911547161
sec_app_mort_acc,float64,1348918,0.9849236911547161
sec_app_num_rev_accts,float64,1348918,0.9849236911547161
sec_app_open_acc,float64,1348918,0.9849236911547161
sec_app_open_act_il,float64,1348918,0.9849236911547161
next_pymnt_d,object,1345310,0.9822892799616812
verification_status_joint,object,1341811,0.9797344560247553
dti_joint,float64,1341585,0.9795694402460341
annual_inc_joint,float64,1341582,0.9795672497710953
debt_settlement_flag_date,object,1335369,0.9750307761728898
settlement_amount,float64,1335369,0.9750307761728898
settlement_date,object,1335369,0.9750307761728898
settlement_percentage,float64,1335369,0.9750307761728898
settlement_status,object,1335369,0.9750307761728898
settlement_term,float64,1335369,0.9750307761728898
desc,object,1243601,0.9080256081123509
mths_since_last_record,float64,1136114,0.8295430815309376
mths_since_recent_bc_dlq,float64,1045111,0.7630964845797866
mths_since_last_major_derog,float64,1009260,0.7369195789030978
mths_since_recent_revol_delinq,float64,911978,0.6658883179050882
il_util,float64,887579,0.6480731852280212
mths_since_rcnt_il,float64,827012,0.6038496866890679
all_util,float64,812103,0.592963756401663
inq_last_12m,float64,812048,0.5929235976944521
open_acc_6m,float64,812048,0.5929235976944521
total_cu_tl,float64,812048,0.5929235976944521
inq_fi,float64,812047,0.5929228675361392
max_bal_bc,float64,812047,0.5929228675361392
open_act_il,float64,812047,0.5929228675361392
open_il_12m,float64,812047,0.5929228675361392
open_il_24m,float64,812047,0.5929228675361392
open_rv_12m,float64,812047,0.5929228675361392
open_rv_24m,float64,812047,0.5929228675361392
total_bal_il,float64,812047,0.5929228675361392
mths_since_last_delinq,float64,690126,0.5039012358659605
mths_since_recent_inq,float64,178574,0.13038729057234189
num_tl_120dpd_2m,float64,121510,0.08872153660356638
mo_sin_old_il_acct,float64,109109,0.0796668433649784
emp_title,object,87969,0.06423129662973526
emp_length,object,80401,0.05870545851751577
pct_tl_nvr_dlq,float64,70430,0.05142504997933652
avg_cur_bal,float64,70299,0.05132939924034329
mo_sin_old_rev_tl_op,float64,70277,0.05131333575745893
mo_sin_rcnt_rev_tl_op,float64,70277,0.05131333575745893
num_rev_accts,float64,70277,0.05131333575745893
mo_sin_rcnt_tl,float64,70276,0.05131260559914601
num_accts_ever_120_pd,float64,70276,0.05131260559914601
num_actv_bc_tl,float64,70276,0.05131260559914601
num_actv_rev_tl,float64,70276,0.05131260559914601
num_bc_tl,float64,70276,0.05131260559914601
num_il_tl,float64,70276,0.05131260559914601
num_op_rev_tl,float64,70276,0.05131260559914601
num_rev_tl_bal_gt_0,float64,70276,0.05131260559914601
num_tl_30dpd,float64,70276,0.05131260559914601
num_tl_90g_dpd_24m,float64,70276,0.05131260559914601
