column_name,primary_purpose,additional_use_cases,selected_for_modeling_base,role_in_modeling_base,modeling_base_column_order
id,identifier,data_quality_check,True,identifier_tracking,1.0
url,identifier,,True,identifier_tracking,2.0
issue_d,monitoring,"portfolio_segmentation,reporting,time_split",True,time_split,3.0
application_type,modeling,portfolio_segmentation,True,model_feature,4.0
term,modeling,portfolio_segmentation,True,model_feature,5.0
home_ownership,modeling,portfolio_segmentation,True,model_feature,6.0
acc_now_delinq,modeling,portfolio_segmentation,True,model_feature,7.0
chargeoff_within_12_mths,modeling,portfolio_segmentation,True,model_feature,8.0
emp_length,modeling,,True,model_feature,9.0
pub_rec_bankruptcies,modeling,portfolio_segmentation,True,model_feature,10.0
purpose,modeling,"portfolio_segmentation,reporting",True,model_feature,11.0
collections_12_mths_ex_med,modeling,portfolio_segmentation,True,model_feature,12.0
open_acc_6m,modeling,portfolio_segmentation,True,model_feature,13.0
open_il_12m,modeling,portfolio_segmentation,True,model_feature,14.0
mths_since_recent_inq,modeling,portfolio_segmentation,True,model_feature,15.0
open_rv_12m,modeling,portfolio_segmentation,True,model_feature,16.0
inq_last_6mths,modeling,portfolio_segmentation,True,model_feature,17.0
inq_fi,modeling,portfolio_segmentation,True,model_feature,18.0
num_tl_90g_dpd_24m,modeling,portfolio_segmentation,True,model_feature,19.0
open_il_24m,modeling,portfolio_segmentation,True,model_feature,20.0
delinq_2yrs,modeling,portfolio_segmentation,True,model_feature,21.0
num_tl_op_past_12m,modeling,portfolio_segmentation,True,model_feature,22.0
num_actv_bc_tl,modeling,portfolio_segmentation,True,model_feature,23.0
tax_liens,modeling,portfolio_segmentation,True,model_feature,24.0
mort_acc,modeling,portfolio_segmentation,True,model_feature,25.0
num_accts_ever_120_pd,modeling,portfolio_segmentation,True,model_feature,26.0
pub_rec,modeling,portfolio_segmentation,True,model_feature,27.0
inq_last_12m,modeling,portfolio_segmentation,True,model_feature,28.0
num_rev_tl_bal_gt_0,modeling,portfolio_segmentation,True,model_feature,29.0
open_rv_24m,modeling,portfolio_segmentation,True,model_feature,30.0
fico_range_high,modeling,"benchmarking,portfolio_segmentation",True,model_feature,31.0
fico_range_low,modeling,"benchmarking,portfolio_segmentation",True,model_feature,32.0
open_act_il,modeling,portfolio_segmentation,True,model_feature,33.0
num_actv_rev_tl,modeling,portfolio_segmentation,True,model_feature,34.0
num_bc_sats,modeling,portfolio_segmentation,True,model_feature,35.0
total_cu_tl,modeling,portfolio_segmentation,True,model_feature,36.0
acc_open_past_24mths,modeling,portfolio_segmentation,True,model_feature,37.0
num_bc_tl,modeling,portfolio_segmentation,True,model_feature,38.0
num_op_rev_tl,modeling,portfolio_segmentation,True,model_feature,39.0
num_sats,modeling,portfolio_segmentation,True,model_feature,40.0
open_acc,modeling,portfolio_segmentation,True,model_feature,41.0
num_rev_accts,modeling,portfolio_segmentation,True,model_feature,42.0
num_il_tl,modeling,portfolio_segmentation,True,model_feature,43.0
mths_since_last_record,modeling,portfolio_segmentation,True,model_feature,44.0
total_acc,modeling,portfolio_segmentation,True,model_feature,45.0
mths_since_last_delinq,modeling,portfolio_segmentation,True,model_feature,46.0
mths_since_recent_bc_dlq,modeling,portfolio_segmentation,True,model_feature,47.0
mths_since_recent_revol_delinq,modeling,portfolio_segmentation,True,model_feature,48.0
all_util,modeling,portfolio_segmentation,True,model_feature,49.0
mths_since_last_major_derog,modeling,portfolio_segmentation,True,model_feature,50.0
mo_sin_rcnt_tl,modeling,portfolio_segmentation,True,model_feature,51.0
il_util,modeling,portfolio_segmentation,True,model_feature,52.0
percent_bc_gt_75,modeling,portfolio_segmentation,True,model_feature,53.0
mo_sin_rcnt_rev_tl_op,modeling,portfolio_segmentation,True,model_feature,54.0
mths_since_rcnt_il,modeling,portfolio_segmentation,True,model_feature,55.0
mths_since_recent_bc,modeling,portfolio_segmentation,True,model_feature,56.0
mo_sin_old_il_acct,modeling,portfolio_segmentation,True,model_feature,57.0
pct_tl_nvr_dlq,modeling,portfolio_segmentation,True,model_feature,58.0
earliest_cr_line,modeling,"data_quality_check,portfolio_segmentation",True,model_feature,59.0
mo_sin_old_rev_tl_op,modeling,portfolio_segmentation,True,model_feature,60.0
revol_util,modeling,portfolio_segmentation,True,model_feature,61.0
bc_util,modeling,portfolio_segmentation,True,model_feature,62.0
delinq_amnt,modeling,portfolio_segmentation,True,model_feature,63.0
dti,modeling,portfolio_segmentation,True,model_feature,64.0
tot_coll_amt,modeling,portfolio_segmentation,True,model_feature,65.0
total_bc_limit,modeling,portfolio_segmentation,True,model_feature,66.0
total_rev_hi_lim,modeling,portfolio_segmentation,True,model_feature,67.0
max_bal_bc,modeling,portfolio_segmentation,True,model_feature,68.0
annual_inc,modeling,"data_quality_check,portfolio_segmentation",True,model_feature,69.0
bc_open_to_buy,modeling,portfolio_segmentation,True,model_feature,70.0
avg_cur_bal,modeling,portfolio_segmentation,True,model_feature,71.0
revol_bal,modeling,portfolio_segmentation,True,model_feature,72.0
total_bal_il,modeling,portfolio_segmentation,True,model_feature,73.0
total_il_high_credit_limit,modeling,portfolio_segmentation,True,model_feature,74.0
total_bal_ex_mort,modeling,portfolio_segmentation,True,model_feature,75.0
tot_cur_bal,modeling,portfolio_segmentation,True,model_feature,76.0
tot_hi_cred_lim,modeling,portfolio_segmentation,True,model_feature,77.0
bad_loan,target,"portfolio_monitoring,reporting",True,target,78.0
addr_state,monitoring,"portfolio_segmentation,reporting",False,,
annual_inc_joint,conditionally_available,"data_quality_check,portfolio_segmentation",False,,
collection_recovery_fee,post_application_leakage,,False,,
debt_settlement_flag,post_application_leakage,,False,,
debt_settlement_flag_date,post_application_leakage,,False,,
deferral_term,constant_or_empty,,False,,
desc,high_cardinality_or_text,,False,,
disbursement_method,conditionally_available,"portfolio_segmentation,reporting",False,,
dti_joint,conditionally_available,portfolio_segmentation,False,,
emp_title,high_cardinality_or_text,,False,,
funded_amnt,monitoring,"portfolio_segmentation,reporting",False,,
funded_amnt_inv,monitoring,"portfolio_segmentation,reporting",False,,
grade,lender_derived_feature,"benchmarking,portfolio_segmentation,reporting",False,,
hardship_amount,post_application_leakage,,False,,
hardship_dpd,post_application_leakage,,False,,
hardship_end_date,post_application_leakage,,False,,
hardship_flag,post_application_leakage,,False,,
hardship_last_payment_amount,post_application_leakage,,False,,
hardship_length,post_application_leakage,,False,,
hardship_loan_status,post_application_leakage,,False,,
hardship_payoff_balance_amount,post_application_leakage,,False,,
hardship_reason,post_application_leakage,,False,,
hardship_start_date,post_application_leakage,,False,,
hardship_status,post_application_leakage,,False,,
hardship_type,post_application_leakage,,False,,
initial_list_status,exclude_from_model_features,"portfolio_segmentation,reporting",False,,
installment,lender_derived_feature,"portfolio_segmentation,reporting",False,,
int_rate,lender_derived_feature,"benchmarking,portfolio_segmentation,reporting",False,,
last_credit_pull_d,post_application_leakage,,False,,
last_fico_range_high,post_application_leakage,,False,,
last_fico_range_low,post_application_leakage,,False,,
last_pymnt_amnt,post_application_leakage,,False,,
last_pymnt_d,post_application_leakage,,False,,
loan_amnt,conditionally_available,"portfolio_segmentation,reporting",False,,
loan_status,target_source,"portfolio_monitoring,reporting",False,,
member_id,constant_or_empty,,False,,
next_pymnt_d,post_application_leakage,,False,,
num_tl_120dpd_2m,conditionally_available,"data_quality_check,portfolio_segmentation",False,,
num_tl_30dpd,conditionally_available,"data_quality_check,portfolio_segmentation",False,,
orig_projected_additional_accrued_interest,post_application_leakage,"portfolio_monitoring,reporting",False,,
out_prncp,post_application_leakage,,False,,
out_prncp_inv,post_application_leakage,,False,,
payment_plan_start_date,post_application_leakage,,False,,
policy_code,constant_or_empty,,False,,
pymnt_plan,post_application_leakage,"portfolio_monitoring,reporting",False,,
recoveries,post_application_leakage,,False,,
revol_bal_joint,conditionally_available,portfolio_segmentation,False,,
sec_app_chargeoff_within_12_mths,conditionally_available,portfolio_segmentation,False,,
sec_app_collections_12_mths_ex_med,conditionally_available,portfolio_segmentation,False,,
sec_app_earliest_cr_line,conditionally_available,"data_quality_check,portfolio_segmentation",False,,
sec_app_fico_range_high,conditionally_available,"benchmarking,portfolio_segmentation",False,,
sec_app_fico_range_low,conditionally_available,"benchmarking,portfolio_segmentation",False,,
sec_app_inq_last_6mths,conditionally_available,portfolio_segmentation,False,,
sec_app_mort_acc,conditionally_available,portfolio_segmentation,False,,
sec_app_mths_since_last_major_derog,conditionally_available,portfolio_segmentation,False,,
