column_name,inferred_feature_type,recommended_preprocessing_group,needs_manual_review,issue_flags,dtype,total_count,non_missing_count,missing_count,missing_percentage,unique_non_missing_count,unique_non_missing_ratio,is_numeric,is_integer_like,date_parse_success_rate,sample_values
max_bal_bc,numeric_continuous,numeric_continuous,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,27660,0.04961265894077153,True,True,,"722.0, 6472.0, 2081.0, 9702.0, 4522.0"
total_bal_il,numeric_continuous,numeric_continuous,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,119917,0.2150904274114425,True,True,,"4981.0, 18005.0, 10827.0, 73839.0, 3976.0"
all_util,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557463,812103,0.592963756401663,172,0.0003085406565099388,True,True,,"34.0, 29.0, 65.0, 78.0, 76.0"
il_util,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,481987,887579,0.6480731852280212,238,0.0004937892515773247,True,True,,"36.0, 73.0, 84.0, 99.0, 63.0"
inq_fi,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,30,5.380982531537042e-05,True,True,,"3.0, 0.0, 2.0, 1.0, 4.0"
inq_last_12m,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557518,812048,0.5929235976944521,43,7.712755462603898e-05,True,True,,"4.0, 6.0, 1.0, 3.0, 0.0"
mths_since_last_delinq,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,679440,690126,0.5039012358659605,163,0.00023990344989991758,True,True,,"30.0, 6.0, 12.0, 49.0, 3.0"
mths_since_last_major_derog,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,360306,1009260,0.7369195789030978,174,0.0004829228489117583,True,True,,"30.0, 3.0, 75.0, 33.0, 55.0"
mths_since_last_record,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,233452,1136114,0.8295430815309376,126,0.0005397255110258212,True,True,,"106.0, 75.0, 30.0, 2.0, 66.0"
mths_since_rcnt_il,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,542554,827012,0.6038496866890679,346,0.00063772453986147,True,True,,"21.0, 19.0, 14.0, 338.0, 18.0"
mths_since_recent_bc_dlq,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,324455,1045111,0.7630964845797866,169,0.0005208734647331679,True,True,,"69.0, 12.0, 48.0, 76.0, 15.0"
mths_since_recent_revol_delinq,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,457588,911978,0.6658883179050882,170,0.0003715132389835398,True,True,,"69.0, 6.0, 12.0, 42.0, 76.0"
open_acc_6m,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557518,812048,0.5929235976944521,19,3.4079617160342806e-05,True,True,,"2.0, 1.0, 0.0, 3.0, 6.0"
open_act_il,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,50,8.968304219228402e-05,True,True,,"2.0, 1.0, 3.0, 0.0, 10.0"
open_il_12m,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,19,3.4079556033067934e-05,True,True,,"0.0, 2.0, 1.0, 3.0, 5.0"
open_il_24m,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,31,5.56034861592161e-05,True,True,,"1.0, 4.0, 3.0, 0.0, 2.0"
open_rv_12m,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,27,4.8428842783833374e-05,True,True,,"3.0, 2.0, 0.0, 4.0, 12.0"
open_rv_24m,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557519,812047,0.5929228675361392,47,8.430205966074699e-05,True,True,,"3.0, 2.0, 7.0, 0.0, 4.0"
total_cu_tl,numeric_discrete_or_count,numeric_discrete_or_count,True,high_missingness,float64,1369566,557518,812048,0.5929235976944521,53,9.506419523674573e-05,True,True,,"1.0, 0.0, 5.0, 2.0, 4.0"
application_type,binary_or_two_value,binary,False,,object,1369566,1369566,0,0.0,2,1.460316625850817e-06,False,False,,"Individual, Joint App"
term,binary_or_two_value,binary,False,,object,1369566,1369566,0,0.0,2,1.460316625850817e-06,False,False,,"36 months, 60 months"
emp_length,categorical_low_cardinality,categorical_low_cardinality,False,,object,1369566,1289165,80401,0.05870545851751577,11,8.532654857989474e-06,False,False,0.0,"10+ years, 3 years, 4 years, 6 years, 7 years"
home_ownership,categorical_low_cardinality,categorical_low_cardinality,False,,object,1369566,1369566,0,0.0,6,4.380949877552451e-06,False,False,0.0,"MORTGAGE, RENT, OWN, ANY, NONE"
purpose,categorical_low_cardinality,categorical_low_cardinality,False,,object,1369566,1369566,0,0.0,14,1.0222216380955718e-05,False,False,0.0,"debt_consolidation, small_business, home_improvement, major_purchase, credit_card"
earliest_cr_line,date_like,date_like,False,,object,1369566,1369537,29,2.1174591074836846e-05,739,0.0005395984190277444,False,False,1.0,"Aug-2003, Dec-1999, Aug-2000, Jun-1998, Oct-1987"
annual_inc,numeric_continuous,numeric_continuous,False,,float64,1369566,1369562,4,2.920633251701634e-06,65151,0.047570683181922396,True,False,,"55000.0, 65000.0, 63000.0, 104433.0, 34000.0"
avg_cur_bal,numeric_continuous,numeric_continuous,False,,float64,1369566,1299267,70299,0.05132939924034329,77137,0.05936962918322408,True,True,,"20701.0, 9733.0, 31617.0, 27644.0, 2560.0"
bc_open_to_buy,numeric_continuous,numeric_continuous,False,,float64,1369566,1305362,64204,0.046879084323062925,75206,0.05761313719872342,True,True,,"1506.0, 57830.0, 2737.0, 4567.0, 844.0"
bc_util,numeric_continuous,numeric_continuous,False,,float64,1369566,1304583,64983,0.04744787764883182,1446,0.001108400155451972,True,False,,"37.2, 27.1, 55.9, 77.5, 91.0"
dti,numeric_continuous,numeric_continuous,False,,float64,1369566,1369168,398,0.00029060300854431256,7230,0.005280579154639898,True,False,,"5.91, 16.06, 10.78, 25.37, 10.2"
pct_tl_nvr_dlq,numeric_continuous,numeric_continuous,False,,float64,1369566,1299136,70430,0.05142504997933652,633,0.000487246908714715,True,False,,"76.9, 97.4, 100.0, 96.6, 96.3"
percent_bc_gt_75,numeric_continuous,numeric_continuous,False,,float64,1369566,1304949,64617,0.04718063970630112,245,0.0001877468008328295,True,False,,"0.0, 7.7, 50.0, 60.0, 100.0"
revol_bal,numeric_continuous,numeric_continuous,False,,float64,1369566,1369566,0,0.0,84446,0.061658948893299044,True,True,,"2765.0, 21470.0, 7869.0, 21929.0, 8822.0"
revol_util,numeric_continuous,numeric_continuous,False,,float64,1369566,1368642,924,0.0006746662811430774,1380,0.0010082987369962341,True,False,,"29.7, 19.2, 56.2, 64.5, 68.4"
tot_cur_bal,numeric_continuous,numeric_continuous,False,,float64,1369566,1299290,70276,0.05131260559914601,402890,0.31008473858799807,True,True,,"144904.0, 204396.0, 189699.0, 331730.0, 12798.0"
tot_hi_cred_lim,numeric_continuous,numeric_continuous,False,,float64,1369566,1299290,70276,0.05131260559914601,430134,0.3310531136235944,True,True,,"178050.0, 314017.0, 218418.0, 439570.0, 16900.0"
