loan_status,count,percentage_of_total_rows
Charged Off,268559,0.1187945685873541
Current,878317,0.3885153321912097
Default,40,1.7693626888297035e-05
Does not meet the credit policy. Status:Charged Off,761,0.00033662125154985115
Does not meet the credit policy. Status:Fully Paid,1988,0.0008793732563483627
Fully Paid,1076751,0.47629076114001806
In Grace Period,8436,0.003731585910741845
Late (16-30 days),4349,0.0019237395834300953
Late (31-120 days),21467,0.009495727210276812
MISSING,33,1.4597242182845055e-05
